TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-04-21 17:53:09.671,1.8228791,1.6722338,0.75285244,1.8438694,1.2148618,0.9824554,0.28204498,0.7506262,0.86831063,0.7074263,-0.0706885,0.88360137,0.7795021,-0.2651622,-0.25854784,0.48205268,0.16006587,-0.6887552,-0.84314597,0.02665409,872.3443,843.3333,851.79486,859.0476,842.1245,0.19000244140625,0.13641357421875,0.92132568359375,9.832000732421875,-12.718048095703125,-11.43951416015625,1,1.0,1.0,1.0,1.0,95.69
2018-04-21 17:53:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:10.684,1.8228791,1.5443184,1.2369686,1.8438694,1.2148618,1.1068201,0.95583934,0.7506262,0.86831063,0.6940216,0.7484324,0.88360137,0.7795021,-0.13323312,-0.31041387,0.48205268,0.16006587,-0.78085506,-0.7918437,0.02665409,845.7509,836.4835,840.5128,850.58606,810.293,0.326416015625,0.01153564453125,0.74664306640625,-0.964508056640625,5.1739501953125,-8.157196044921875,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:11.711,1.8228791,1.7409302,1.0526936,1.8438694,1.2148618,1.0402666,0.8660482,0.7506262,0.86831063,0.71958166,0.81183755,0.88360137,0.7795021,-0.009910813,-0.11504656,0.48205268,0.16006587,-0.65159386,-0.8437835,0.02665409,754.68866,806.26373,898.5348,831.2454,858.6447,0.494873046875,0.19744873046875,0.87115478515625,39.67193603515625,23.55194091796875,83.19442749023438,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:12.713,1.8228791,1.6789585,1.4501243,1.8438694,1.2148618,0.6766198,1.1038303,0.7506262,0.86831063,0.52822345,0.95893455,0.88360137,0.7795021,0.10253355,0.109164044,0.48205268,0.16006587,-0.6308445,-0.5355988,0.02665409,840.9158,859.45056,833.2601,841.7216,834.4689,0.17266845703125,0.00860595703125,1.1571044921875,19.417266845703125,8.860015869140625,64.13604736328125,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:13.719,1.8228791,1.3994118,1.3392447,1.8438694,1.2148618,1.3421314,0.8285881,0.7506262,0.86831063,0.79786927,0.71088296,0.88360137,0.7795021,0.12626314,-0.12046268,0.48205268,0.16006587,-0.6135736,-0.55502176,0.02665409,992.4176,853.8095,790.9524,919.4872,846.1539,0.13702392578125,-0.03570556640625,0.90557861328125,0.500946044921875,7.29736328125,-23.484649658203125,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:14.723,1.8228791,1.320716,1.6319947,1.8438694,1.2148618,0.8562771,0.72711223,0.7506262,0.86831063,0.7484976,0.4519342,0.88360137,0.7795021,0.054252084,-0.35555446,0.48205268,0.16006587,-0.5471154,-0.6577614,0.02665409,878.3883,850.989,847.76556,868.71796,900.54944,0.18701171875,0.0791015625,1.0064697265625,4.32159423828125,2.87109375,15.67138671875,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:15.743,1.8228791,0.9846618,1.453823,1.8438694,1.2148618,0.7210079,0.5559269,0.7506262,0.86831063,0.7905293,0.32134458,0.88360137,0.7795021,-0.009331773,-0.2643125,0.48205268,0.16006587,-0.7889751,-0.87100756,0.02665409,812.71063,844.94507,850.989,845.34796,810.696,0.26861572265625,0.2906494140625,0.86474609375,-0.605621337890625,-1.607513427734375,21.60797119140625,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:16.745,1.8228791,0.72644514,0.4525295,1.8438694,1.2148618,0.016799426,-0.20390134,0.7506262,0.86831063,0.6922472,0.48753127,0.88360137,0.7795021,-0.10636207,-0.3551082,0.48205268,0.16006587,-0.99301934,-0.9310202,0.02665409,823.9927,844.94507,852.6007,834.0659,850.58606,0.69891357421875,0.1470947265625,0.92437744140625,0.179443359375,-18.609771728515625,16.007843017578125,1,2.0,1.0,1.0,2.0,95.63
2018-04-21 17:53:17.747,1.2906237,0.7669395,0.17932789,1.1990775,0.9324968,0.059210956,-0.33317176,0.6173972,0.9066522,0.36278585,0.21268874,0.42108142,0.6429354,-0.13365245,-0.3917473,0.35909188,0.1375816,-0.9534995,-0.7797736,0.3574678,851.39197,853.4066,857.03296,860.65936,796.5934,0.71868896484375,0.038818359375,0.73870849609375,-0.91217041015625,5.9515380859375,-1.308441162109375,1,1.0,1.0,1.0,1.0,95.63
